,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
207,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2002-04-01,2.17
208,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2002-05-01,2.09
209,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2002-06-01,0.94
210,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2002-07-01,2.54
211,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2002-08-01,4.02
212,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2002-09-01,1.32
213,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2002-10-01,3.04
214,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2002-11-01,0.07
215,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2002-12-01,0.03
216,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2003-01-01,0.01
217,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2003-02-01,0.42
218,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2003-03-01,2.19
219,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2003-04-01,3.75
220,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2003-05-01,2.31
221,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2003-06-01,4.5
222,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2003-07-01,0.01
223,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2003-08-01,2.99
224,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2003-09-01,6.46
225,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2003-10-01,0.39
226,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2003-11-01,0.15
227,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2003-12-01,0.43
228,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2004-01-01,0.32
229,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2004-02-01,0.68
230,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2004-03-01,2.03
231,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2004-04-01,1.49
232,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2004-05-01,1.55
233,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2004-06-01,4.28
234,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2004-07-01,7.45
235,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2004-08-01,1.76
236,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2004-09-01,1.96
237,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2004-10-01,1.77
238,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2004-11-01,0.78
239,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2004-12-01,0.0
240,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2005-01-01,1.12
241,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2005-02-01,1.62
242,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2005-03-01,2.99
243,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2005-04-01,2.33
244,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2005-05-01,1.58
245,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2005-06-01,3.0
246,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2005-07-01,2.33
