STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,TAVG
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1995-10,9.4,0.02,0.2,48.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1995-11,9.2,0,0,41.4
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1995-12,8.7,0,0,32.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1996-01,10.5,0.16,2.9,27.2
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1996-02,9.8,0.35,4.7,34.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1996-03,10.5,0.82,6.9,35.4
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1996-04,11.9,0.39,3.2,47.2
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1996-05,11.4,2.22,0,59.6
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1996-06,9.4,1.59,0,65.7
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1996-07,8.9,4.47,0,69.8
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1996-08,8.7,3.47,0,67.5
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1996-09,8.9,2.04,0,57.4
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1996-10,9.8,0.89,8.7,49
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1996-11,8.5,0.17,3.7,38.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1996-12,10.3,0.04,1.7,33
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1997-01,8.9,0.11,9.3,27.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1997-02,10.1,0.18,3.4,30.2
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1997-03,10.3,0.34,2.4,40.7
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1997-04,10.5,3.31,12.3,39.5
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1997-05,9.8,1.17,0,53.7
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1997-06,9.6,5.45,0,64.3
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1997-07,8.9,4.63,0,70.5
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1997-08,8.3,4.7,0,67
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1997-09,8.1,1.78,0,62.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1997-10,10.7,0.98,19.9,48.5
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1997-11,9.4,0.22,3.5,33.5
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1997-12,10.1,0.1,1.9,30.5
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1998-01,8.9,0.03,0.3,32.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1998-02,7.6,0.34,4.3,31.6
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1998-03,10.1,2.42,17.5,35.4
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1998-04,11.2,1.38,9.4,43
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1998-05,11.6,0.72,0,58.8
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1998-06,12.3,1.28,0,63.8
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1998-07,8.7,5.26,0,71
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,1998-08,7.8,2.75,0,67.6
