STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1985-08,11.2,2.88,0,84.1
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1985-09,11.6,8.39,0,80.6
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1985-10,11.9,3.4,0,75.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1985-11,13.4,1.63,0,69
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1985-12,12.1,1.61,0,55.5
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1986-01,11.9,1.7,0,57.4
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1986-02,13.4,1.07,0,62.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1986-03,13,0.14,0,66.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1986-04,14.8,0.66,0,74.6
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1986-05,12.8,5.13,0,77.1
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1986-06,9.8,3.11,0,81.8
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1986-07,13.4,0.25,0,84
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1986-08,11.6,4.94,0,83.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1986-09,11.4,1.86,0,83.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1986-10,11.2,5.03,0,73.8
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1986-11,12.1,3.75,0,64.8
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1986-12,12.3,4.55,0,55.8
